customer_unique_id,recency,frequency,monetary,avg_monetary,avg_items_per_order,avg_freight_per_order,avg_installments,avg_review_score,pct_orders_with_review,customer_state,customer_city,unique_product_categories,unique_sellers,cluster
001f3c4211216384d5fe59b041ce1461,521,1,35.84,35.84,1.0,10.96,3.0,3.0,1.0,SP,sao paulo,1,1,2
00651d97d964127ccfc0e2e55464876d,177,1,23.72,23.72,1.0,8.72,1.0,1.0,1.0,SP,campinas,1,1,1
00aafcd186fbd5da867f9b8df04518aa,188,1,132.48,132.48,1.0,15.57,2.0,1.0,1.0,RJ,bom jesus do itabapoana,1,1,1
0129d48dce554d95f641d01eaa88904a,160,1,1429.59,1429.59,1.0,39.59,5.0,5.0,1.0,SP,sao bernardo do campo,1,1,1
019ac5580a897d52e5ed6f7ed89ade27,351,1,4011.57,1337.19,2.0,16.73,1.0,5.0,1.0,SP,sumare,1,1,1
01bbbfc56b8ec1052e46f260226e34f9,142,1,942.1200000000001,314.04,2.0,24.69,1.0,5.0,1.0,RJ,rio de janeiro,1,1,1
021109bdb16fa17c2463cab87da314f3,224,1,159.7,159.7,1.0,58.9,2.0,1.0,1.0,SP,campinas,1,1,1
02d7cc0037bb3563ed6bf98c5b0d9f0c,314,1,29.09,29.09,1.0,14.1,2.0,3.0,1.0,RJ,niteroi,1,1,1
02fc5276df6dd1ff4901e5eb9efdbb92,271,1,83.23,83.23,1.0,16.23,1.0,5.0,1.0,RJ,itaperuna,1,1,1
0349c4f5811eb0c1f2a56f459cbd962f,451,1,114.35,114.35,1.0,21.45,5.0,5.0,1.0,AL,rio largo,1,1,1
0367dccc4908227b00b0ca2371f31a0d,23,1,37.79,37.79,1.0,12.84,1.0,5.0,1.0,SP,roseira,1,1,1
03f3956529aac8ab54669986dbccdea5,271,1,758.29,758.29,1.0,43.99,10.0,5.0,1.0,DF,brasilia,1,1,1
043bf08714e3d2649e99956601f2dacb,36,1,73.49,73.49,1.0,23.5,1.0,4.0,1.0,SP,salto,1,1,1
04c83639f720ad66ffb6b8ba9afca9d6,470,1,152.39,152.39,1.0,17.39,2.0,4.0,1.0,MT,querencia,1,1,1
